No,Component,Brand
,POWERSUPPLY,YOKOGAWA
9,DCS DI Card,
19,BREAKER,
20,BREAKER,
21,BREAKER,
22,BREAKER,
23,BREAKER,
24,BREAKER,
25,BREAKER,
26,BREAKER,
27,BREAKER,
28,BREAKER,
29,BREAKER,
30,BREAKER,
31,BREAKER,
32,BREAKER,
33,BREAKER,
34,BREAKER,
38,BREAKER,
39,BREAKER,
40,BREAKER,
41,BREAKER,
42,BREAKER,
43,BREAKER,
44,BREAKER,
45,BREAKER,
46,BREAKER,
47,BREAKER,
48,BREAKER,
49,BREAKER,
50,BREAKER,
51,BREAKER,
52,BREAKER,
58,CONTACTOR,
59,CONTACTOR,
60,CONTACTOR,
61,CONTACTOR,
62,DCS DI Card,
63,DCS DI Card,
64,DCS DI Card,
65,DCS DI Card,
66,DCS DI Card,
67,DCS DI Card,
68,DCS DI Card,
69,DCS DI Card,
70,DCS DI Card,
71,BREAKER,
72,BREAKER,
73,DCS DI Card,
74,DCS DI Card,
79,ENCODER,
84,INVERTER,
90,LAMP,
91,LAMP,
92,LAMP,
93,REED SWITCH,
94,REED SWITCH,
95,REED SWITCH,
97,BEARING,
98,BEARING,
101,BREAKER,
102,BREAKER,
103,BREAKER,
104,BREAKER,
105,BREAKER,
106,BREAKER,
112,DCS DI Card,
114,DCS DI Card,
115,INVERTER,
127,BREAKER,
137,PUSH BUTTON,
139,BREAKER,
140,BREAKER,
141,BREAKER,
142,BREAKER,
143,BREAKER,
144,BREAKER,
145,BREAKER,
146,BREAKER,
147,BREAKER,
148,BREAKER,
149,BREAKER,
150,BREAKER,
151,BREAKER,
152,BREAKER,
153,BREAKER,
154,BREAKER,
155,BREAKER,
156,BREAKER,
157,BREAKER,
158,BREAKER,
159,BREAKER,
160,BREAKER,
161,BREAKER,
162,BREAKER,
164,BREAKER,
166,BREAKER,
168,BREAKER,
169,BREAKER,
187,BREAKER,
188,BREAKER,
190,BREAKER,
211,BREAKER,
212,BREAKER,
213,BREAKER,
214,BREAKER,
215,BREAKER,
216,BREAKER,
217,BREAKER,
218,BREAKER,
219,BREAKER,
220,BREAKER,
221,BREAKER,
222,BREAKER,
223,BREAKER,
224,BREAKER,
225,BREAKER,
226,BREAKER,
227,BREAKER,
228,BREAKER,
229,BREAKER,
230,BREAKER,
231,BREAKER,
232,BREAKER,
242,BREAKER,
243,BREAKER,
244,BREAKER,
245,BREAKER,
246,BREAKER,
247,BREAKER,
248,BREAKER,
250,BREAKER,
251,BREAKER,
252,BREAKER,
253,BREAKER,
254,BREAKER,
255,BREAKER,
256,BREAKER,
257,BREAKER,
258,BREAKER,
259,BREAKER,
260,BREAKER,
261,BREAKER,
262,BREAKER,
263,BREAKER,
264,BREAKER,
265,BREAKER,
266,BREAKER,
267,BREAKER,
268,BREAKER,
269,BREAKER,
270,BREAKER,
271,BREAKER,
272,BREAKER,
273,BREAKER,
274,BREAKER,
275,BREAKER,
276,BREAKER,
277,BREAKER,
278,BREAKER,
279,BREAKER,
280,BREAKER,
281,BREAKER,
282,BREAKER,
283,BREAKER,
284,BREAKER,
285,BREAKER,
286,BREAKER,
287,BREAKER,
289,BREAKER,
290,REED SWITCH,
291,REED SWITCH,
292,BREAKER,
293,BREAKER,
294,BREAKER,
323,INVERTER,
342,INVERTER,
345,DCS DI Card,
346,INVERTER,
366,DCS DI Card,
367,DCS DI Card,
369,DCS DI Card,
370,DCS DI Card,
371,DCS DI Card,
375,DCS DI Card,
377,DCS DI Card,
382,DCS DI Card,
391,DCS DI Card,
398,INVERTER,
408,DCS DI Card,
411,INVERTER,
412,INVERTER,
448,DCS DI Card,
449,DCS DI Card,
457,DCS DI Card,
458,DCS DI Card,
459,DCS DI Card,
464,DCS DI Card,
465,DCS DI Card,
466,DCS DI Card,
467,DCS DI Card,
468,DCS DI Card,
469,DCS DI Card,
470,DCS DI Card,
471,DCS DI Card,
472,DCS DI Card,
473,DCS DI Card,
474,DCS DI Card,
475,DCS DI Card,
476,DCS DI Card,
477,DCS DI Card,
481,SERVO,
484,REED SWITCH,
489,DCS DI Card,
491,DCS DI Card,
492,DCS DI Card,
493,DCS DI Card,
494,DCS DI Card,
495,DCS DI Card,
504,DCS DI Card,
505,INVERTER,
514,DCS DI Card,
515,DCS DI Card,
519,INVERTER,
520,INVERTER,
525,DCS DI Card,
526,DCS DI Card,
528,DCS DI Card,
529,SERVO,
531,DCS DI Card,
532,DCS DI Card,
534,DCS DI Card,
537,DCS DI Card,
538,DCS DI Card,
539,DCS DI Card,
540,DCS DI Card,
541,DCS DI Card,
544,DCS DI Card,
545,REED SWITCH,
550,SERVO,
551,INVERTER,
552,INVERTER,
553,DCS DI Card,
561,DCS DI Card,
568,DCS DI Card,
577,DCS DI Card,
578,DCS DI Card,
579,DCS DI Card,
581,DCS DI Card,
604,CONTACTOR,
605,CONTACTOR,
606,CONTACTOR,
607,CONTACTOR,
608,CONTACTOR,
609,CONTACTOR,
610,CONTACTOR,
611,CONTACTOR,
612,CONTACTOR,
613,CONTACTOR,
614,CONTACTOR,
615,CONTACTOR,
616,CONTACTOR,
617,CONTACTOR,
618,CONTACTOR,
619,CONTACTOR,
620,CONTACTOR,
621,CONTACTOR,
622,CONTACTOR,
661,CONTACTOR,
662,CONTACTOR,
663,CONTACTOR,
664,CONTACTOR,
665,CONTACTOR,
