No,Name,Count
1,,17
2,CARD MEMORY,1
3,INSULATOR,4
4,TRS 2-1/2 R,1
5,OF-6B50,5
6,10-33VDC(8),1
7,3VE3000-8MA00,1
8,3VT5200-0DS00,1
9,70-0-1175,1
10,RS715V0.7A,1
11,3A7.2KVp.02911915.3  [ZN],1
12,MG CL-70132-CH30 {9},1
13,PROCESSOR,1
14,OUTPUT UNIT MELSEC QY40P,1
15,ACCURAY [ZN],1
16,RESISTOR''77869X,1
17,SIEMENS [8],2
18,EP14,1
19,MS4SA-AP,1
20,SMC  [8],1
21,128950-001,1
22,S-N 95,1
23,MG25N2C,1
24,RELIANCE ELECTRI {ZN,2
25,5-24 VDC,1
26,TDMB20,1
27,45EG 10AL CX504,1
28,CPU MODULE 314C-2DP,1
29,220 VAC.,1
30,MY4,2
31,PULSE AMLIFIER CARD,1
32,TTF401398AH200,1
33,46HD-10,1
34,DIODE'TOSHIBA'100L6PA41,1
35,AXR484NK2S635  ,1
36,100 V,5
37,EARTH LEAKAGE,1
38,MODULE CPU,1
39,PLUG,1
40,CARDdriveCP123'YASKAWA'46S028920020 [ZN],1
41,GOULD SHAWMUT  [5],1
42,14152(14252),1
43,0.43-0.67A,1
44,25RIA60,1
45, [8],5
46,0805002S37,1
47,NBR,1
48,SF400U27 1E,1
49,PLVS700,1
50,OMRON (Japan only),1
51,20 W,1
52,706364-11RBA,1
53,FUSEbattCHARGERsub''HPT60,1
54,CARD BOU8,1
55,185-240 MM2,1
56,4 A,2
57,3RT1045-1APOO,1
58,CARD MOTOR POTENTIOMETER UNIT{ZN},1
59,VKM-3209-UO-R20,1
60,3000 A,1
61,CAPACITOR'CLEANERoy'P/N532460EMC3,1
62,MG L-70317-A,1
63,55KW,1
64,MSO-KR11,2
65,3TF4822-OXPO,1
66,MG CL-70142-AH50 {9},1
67,277 VAC,2
68,CR2LS,1
69,DM900NY [ZN,1
70,0-100,1
71,SIEMEN PB11,1
72, 1NO-1NC,1
73,1/2 W (100 PC/PA,1
74,FWP-700,1
75,KASUGA,1
76,AR30PR-211B,1
77,90 KW,1
78,WLG2,1
79,MATHU.,1
80,"170M1568 ""BUSSMANN""",1
81,SWITCHINGregulator''ES1024,1
82,SIEMENS(àªç´),1
83,BALL SCREW ASSEMBLY C23257,1
84,TTF401392AH80,1
85,DP209WR,1
86,BUSSM(8),1
87,AMPLIFIER ACHSE XLP-T,1
88,HQP-1020-1P-20A  [5],1
89,1KV3150A   [ZN],1
90,6RB21012AZ,1
91,KS400,1
92,HW,1
93,FCF2-20,1
94,POWER   {ZN},1
95,25 A,4
96,PB14 [ZN],1
97, [N],1
98,IDEC,12
99,EH80 AC1,1
100,220VAC.,1
101,18x17 MM.100KA,1
102,DVF-11V,8
103,F/PM.3,1
104,C95,1
105,PSU,31
106,30,1
107,CARD ANALOG OUTPUT,1
108,G3F-203 SN,1
109,CONTROLLER COROMAX,1
110,SPAD346C3,1
111,670 A,1
112,1.5 M,1
113,0-20,1
114,ETX001590,1
115,CONTROLLER,1
116,I/F CARD,1
117,PHASE CONTROL PCB,1
118,NF50-HB,1
119,SZT5,1
120,TTC6414191AH20,1
121,6ES7212-1BB23-OXBO,1
122,UP3AS31AB,1
123,(HEAD) ZCK-D06,1
124,IF2004-FRKG,1
125,SANREX,1
126,WireS:240mm,1
127,"SOLID STATE SW ""SMC"" D-J59W",1
128,MAGNETIC CONTAC 1SBL371001R8011-T1,1
129,3VT7100-0BR00,1
130,120 KW,1
131,JAMSC-IF60V,1
132,L-18242-C,1
133,110,1
134,C14326 [SD,1
135,INDUCTIVE APPROACH SWITCH,1
136,TR-11-1E 0.2 KW  ,1
137,KBS1HM,1
138,ATMC102XL,1
139,MAGNETIC CONTAC 1SFL431001R8011-T1,1
140,PM16(5),14
141,R4/47 OHM 50W,1
142,N105CH16,1
143,POWER BLOCK 6SL3353-1AG41-4DA1,1
144,PROCESS CONTROL.WITH PB DP,1
145,WL CA 12,1
146,ENE1814-0,1
147,CARD DRIVE,1
148,CARD dcs MTU' ABB' TU810V1,1
149,15AZ15 GWB,1
150,CARDdcsSUPPLY'HONEYWELL'PS3LE24AFC,1
151,DIODE''520007    [ZN],1
152,FUJI  *UR,1
153,E3S-DS10E4,1
154,SCHLEICHER,1
155,1.6 A ,1
156,MC-2006,1
157, PB8 (ZN),1
158,WD30-SE01,1
159,22 A,1
160, PB15 [8],1
161,POWERSUPPLYdcs'YOKOGAWA'SD822  [5],1
162,AF210-30-11 (F5),1
163,RA-6E3,1
164,3GA2122,1
165,100 VAC,1
166,700VAC,1
167,CURRENT KS0630,1
168,A4J-60,1
169,6DD16110AE0,2
170,3TF-5022-OXDO,1
171,METSO  [8],2
172,CONVERTER 'WISCO'SC95,1
173,TT57016KOF,1
174,HPI-T/400,1
175,30 A,6
176,5SX4104-7,2
177,STROMBE.,1
178,CARD QCS FLASHHV,1
179,1.1164 A,1
180,QCS OM EMR RELAY,1
181,P.191498    [ZN],1
182,MODULE,11
183,E2F-X5Y1,1
184,PAB700,1
185,CI854AK01,1
186,P637788,1
187,EMAG,1
188,A21956,1
189,PSI630 (COS2),1
190,JBAMC0111,1
191,SPTU 240 R2RS 941 021-AA,1
192,SKR 141F17,1
193,LC1-D09 D7,1
194,BZE6-2RN,1
195,45-66A,1
196,MONITOR,1
197,NF63-HW,1
198,LS100/L144,1
199,16PIN [4PC,1
200,DAITO  [ZN],1
201,CG75,1
202,P135 TRION CAN I/O UNIT,1
203,DIGITAL OUTPUT MODULE,2
204,TEMPOSONIC ENCODER RHM0050,1
205,YOKOGAWA  [8],1
206,TR-11-1E 0.75 KW,1
207,6ES5 465-7LA13,1
208,VIB,1
209,PROTECTIONtransient''EMR8,1
210,METSO (8PCS/SET),1
211,TH-K 220KP,3
212,THYRISTORdrive'YASKAWA'SCR000253,1
213,4109,1
